timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,elephant
1695751709.8061988,10.0.0.2,10.0.0.3,4433,625,6,74,1
1695751710.8861988,10.0.0.2,10.0.0.3,4433,625,6,74,1
1695751711.990362,10.0.0.2,10.0.0.3,4433,625,6,74,1
1695751713.114315,10.0.0.2,10.0.0.3,4433,625,6,74,1
1695751714.1743865,10.0.0.2,10.0.0.3,4433,625,6,74,1
1695751715.250416,10.0.0.1,10.0.0.2,58043,80,6,90,0
1695751716.3304143,10.0.0.1,10.0.0.2,58043,80,6,90,0
1695751717.3983204,10.0.0.1,10.0.0.4,53321,443,6,1254,1
1695751718.4552476,10.0.0.1,10.0.0.2,58043,80,6,90,0
1695751719.5225048,10.0.0.1,10.0.0.2,58043,80,6,90,0
1695751767.1142628,10.0.0.5,10.0.0.3,3074,30480,17,176,1
1695751767.1943204,10.0.0.5,10.0.0.3,3074,30480,17,172,1
1695751767.2582705,10.0.0.5,10.0.0.3,3074,30480,17,175,1
1695751767.3502257,10.0.0.5,10.0.0.3,3074,30480,17,175,1
1695751767.4183564,10.0.0.5,10.0.0.3,3074,30480,17,170,1
1695751767.5021558,10.0.0.5,10.0.0.3,3074,30480,17,165,1
1695751767.5783098,10.0.0.3,10.0.0.5,3384,38470,6,66,0
1695751767.6422727,10.0.0.3,10.0.0.5,3384,38470,6,66,0
1695751768.7144108,10.0.0.2,10.0.0.5,80,39432,6,1514,1
1695751769.7862966,10.0.0.4,10.0.0.3,80,54617,6,1514,1
1695751770.8422768,10.0.0.2,10.0.0.5,80,39432,6,1514,1
1695751771.9142535,10.0.0.2,10.0.0.5,80,39432,6,4410,1
1695751771.9862423,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751772.0823424,10.0.0.5,10.0.0.1,48943,110,6,54,0
1695751773.1463404,10.0.0.5,10.0.0.1,443,63084,6,66,0
1695751773.2382596,10.0.0.2,10.0.0.3,1743,8443,6,54,0
1695751773.3262768,10.0.0.2,10.0.0.3,1743,8443,6,54,0
1695751773.4263291,10.0.0.2,10.0.0.3,1743,8443,6,54,0
1695751773.5141673,10.0.0.2,10.0.0.3,1743,8443,6,54,0
1695751773.5902214,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751773.6863804,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751773.782395,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751773.8742087,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751773.986453,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751774.0502124,10.0.0.4,10.0.0.2,80,57777,17,63,1
1695751774.1582265,10.0.0.4,10.0.0.5,59528,443,6,54,1
1695751774.2422233,10.0.0.5,10.0.0.1,21448,906,6,54,0
1695751774.3503594,10.0.0.5,10.0.0.1,21448,906,6,54,0
1695751775.4104624,10.0.0.3,10.0.0.1,518,10808,6,66,0
1695751776.4982393,10.0.0.3,10.0.0.1,518,10808,6,66,0
1695751776.574427,10.0.0.3,10.0.0.4,53456,38775,17,149,1
1695751776.6422038,10.0.0.3,10.0.0.4,53456,38775,17,853,1
