timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,ingress_elephant,controller_elephant
1695751661.8016658,10.0.0.1,10.0.0.2,1526,19508,6,66,0,0
1695751661.8031356,10.0.0.1,10.0.0.2,1526,19508,6,66,0,0
1695751661.8043604,10.0.0.2,10.0.0.1,19508,1526,6,54,0,0
1695751661.8056078,10.0.0.2,10.0.0.1,19508,1526,6,54,0,0
1695751661.8071291,10.0.0.2,10.0.0.1,19508,1526,6,54,0,0
1695751675.0039515,10.0.0.5,10.0.0.1,80,55077,6,1514,1,1
1695751675.0063925,10.0.0.1,10.0.0.5,55077,80,6,54,0,0
1695751678.2879925,10.0.0.2,10.0.0.3,9321,443,6,62,1,1
1695751689.239553,10.0.0.3,10.0.0.4,39432,80,6,66,1,1
1695751690.3114986,10.0.0.5,10.0.0.3,22,40316,6,66,0,0
1695751690.3131557,10.0.0.3,10.0.0.5,40316,22,6,54,0,0
1695751691.6598234,10.0.0.1,10.0.0.5,39806,80,6,66,1,1
1695751691.6612763,10.0.0.5,10.0.0.1,80,39806,6,54,0,0
1695751692.7916749,10.0.0.4,10.0.0.1,21841,434,6,62,0,0
1695751692.7934306,10.0.0.4,10.0.0.1,21841,434,6,62,0,0
1695751692.7948813,10.0.0.4,10.0.0.1,21841,434,6,62,0,0
1695751692.7964268,10.0.0.1,10.0.0.4,434,21841,6,54,0,0
1695751692.798129,10.0.0.1,10.0.0.4,434,21841,6,54,0,0
1695751692.7995934,10.0.0.1,10.0.0.4,434,21841,6,54,0,0
1695751693.5515652,10.0.0.5,10.0.0.3,39531,5353,6,62,0,0
1695751693.5529997,10.0.0.3,10.0.0.5,5353,39531,6,54,0,0
1695751693.6274402,10.0.0.1,10.0.0.3,60000,54222,6,62,0,0
1695751693.628874,10.0.0.3,10.0.0.1,54222,60000,6,54,0,0
1695751693.7115254,10.0.0.5,10.0.0.3,39787,53,6,62,0,0
1695751693.7132792,10.0.0.3,10.0.0.5,53,39787,6,54,0,0
1695751701.339551,10.0.0.5,10.0.0.2,0,0,1,407,0,0
1695751701.3411756,10.0.0.5,10.0.0.2,0,0,1,407,0,0
1695751701.342813,10.0.0.5,10.0.0.2,0,0,1,407,0,0
1695751701.344094,10.0.0.2,10.0.0.5,0,0,1,407,0,0
1695751701.3452632,10.0.0.2,10.0.0.5,0,0,1,407,0,0
1695751701.3462486,10.0.0.2,10.0.0.5,0,0,1,407,0,0
1695751703.119485,10.0.0.2,10.0.0.5,49433,443,6,66,1,1
1695751706.399546,10.0.0.5,10.0.0.1,4321,23592,6,66,0,0
1695751706.4010084,10.0.0.1,10.0.0.5,23592,4321,6,54,0,0
1695751713.1316538,10.0.0.2,10.0.0.3,4433,625,6,74,1,1
